A,Theft,02/05/18. 02:00 PM.,CREDIT CARD/ATM 2605,Details
B,Arrest,02/05/18. 05:08 PM.,DRUG/NARCOTIC VIOLATIONS 3563,Details
C,Arrest,02/05/18. 05:08 PM.,DRUG/NARCOTIC VIOLATIONS 3532,Details
D,Arrest,02/05/18. 05:08 PM.,WEAPON LAW VIOLATIONS 5202,Details
E,Theft,02/05/18. 08:02 PM.,THEFT FROM MOTOR VEHICLE 2305,Details
F,Other,02/05/18. 08:35 PM.,ALL OTHER 5309,Details
G,Theft,02/05/18. 10:30 AM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 3075,Details
H,Other,02/05/18. 09:07 AM.,ALL OTHER 5015,Details
I,Theft,02/05/18. 01:36 PM.,ALL OTHER LARCENY 2399,Details
J,Vandalism,02/05/18. 12:15 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
A,Vandalism,02/04/18. 02:51 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
B,Theft,02/04/18. 08:50 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2677,Details
C,Other,02/04/18. 09:20 PM.,ALL OTHER 5309,Details
D,Assault,02/04/18. 04:13 PM.,SIMPLE ASSAULT 1313,Details
E,Assault,02/04/18. 02:51 AM.,SIMPLE ASSAULT 1313,Details
F,Other,02/04/18. 01:57 AM.,ALL OTHER 5015,Details
G,Assault,02/04/18. 03:21 AM.,SIMPLE ASSAULT 1313,Details
H,Arrest,02/04/18. 12:48 AM.,DRIVING UNDER THE INFLUENCE 8041,Details
A,Theft,02/03/18. 06:30 PM.,SHOPLIFTING 3078,Details
B,Other,02/03/18. 08:48 PM.,ALL OTHER 5015,Details
C,Assault,02/03/18. 10:10 PM.,SIMPLE ASSAULT 1313,Details
D,Arrest,02/03/18. 11:15 PM.,WEAPON LAW VIOLATIONS 5213,Details
E,Assault,02/03/18. 04:40 PM.,SIMPLE ASSAULT 1313,Details
F,Theft,02/03/18. 12:16 PM.,EMBEZZLEMENT 2798,Details
G,Theft,02/03/18. 03:52 PM.,CREDIT CARD/ATM 2605,Details
H,Other,02/03/18. 10:23 AM.,ALL OTHER 5013,Details
I,Arrest,02/03/18. 01:35 PM.,DRUG/NARCOTIC VIOLATIONS 3562,Details
J,Assault,02/03/18. 02:34 AM.,FORCIBLE FONDLING 1172,Details
K,Vandalism,02/03/18. 04:22 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
L,Arrest,02/03/18. 01:32 AM.,DRIVING UNDER THE INFLUENCE 8041,Details
A,Theft,02/02/18. 12:00 AM.,THEFT FROM BUILDING 2308,Details
B,Burglary,02/02/18. 08:00 AM.,BURGLARY/BREAKING & ENTERING 2204,Details
C,Assault,02/02/18. 02:14 AM.,SIMPLE ASSAULT 1313,Details
D,Theft,02/02/18. 07:30 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 3077,Details
E,Assault,02/02/18. 11:38 PM.,SIMPLE ASSAULT 1313,Details
F,Theft,02/02/18. 05:40 PM.,SHOPLIFTING 3074,Details
G,Arrest,02/02/18. 10:24 PM.,DRIVING UNDER THE INFLUENCE 8027,Details
H,Other,02/02/18. 01:16 PM.,ALL OTHER 4898,Details
I,Other,02/02/18. 01:16 PM.,TRESPASS OF REAL PROPERTY 5707,Details
J,Assault,02/02/18. 01:16 PM.,SIMPLE ASSAULT 1313,Details
K,Theft,02/02/18. 03:45 PM.,THEFT FROM BUILDING 2308,Details
L,Theft,02/02/18. 12:12 PM.,STOLEN PROPERTY 2804,Details
M,Other,02/02/18. 10:45 AM.,DISORDERLY CONDUCT 5393,Details
N,Other,02/02/18. 12:03 PM.,ALL OTHER 5015,Details
